iter	Passed	Remaining
0	145	144924
1	153	76664
2	161	53837
3	170	42460
4	177	35402
5	181	30087
6	187	26545
7	191	23792
8	195	21554
9	199	19766
10	202	18242
11	206	17020
12	208	15841
13	210	14811
14	212	13980
15	215	13236
16	217	12581
17	219	11998
18	222	11474
19	224	10996
20	226	10570
21	228	10151
22	229	9760
23	231	9432
24	234	9132
25	236	8861
26	238	8603
27	240	8363
28	243	8139
29	244	7916
30	247	7723
31	249	7539
32	251	7356
33	253	7192
34	255	7041
35	257	6900
36	259	6761
37	262	6636
38	264	6519
39	265	6381
40	268	6270
41	270	6167
42	272	6064
43	274	5970
44	277	5895
45	280	5807
46	282	5720
47	284	5642
48	286	5567
49	288	5480
50	290	5408
51	292	5333
52	295	5272
53	297	5206
54	299	5145
55	302	5104
56	305	5046
57	307	4992
58	309	4940
59	312	4890
60	314	4842
61	317	4797
62	319	4751
63	321	4701
64	324	4660
65	330	4670
66	331	4622
67	337	4620
68	339	4583
69	341	4530
70	343	4494
71	345	4455
72	348	4426
73	352	4409
74	356	4392
75	359	4366
76	361	4330
77	364	4304
78	368	4298
79	371	4266
80	373	4238
81	375	4200
82	377	4171
83	383	4181
84	390	4201
85	392	4170
86	394	4141
87	399	4142
88	404	4135
89	405	4103
90	408	4077
91	411	4056
92	414	4046
93	418	4030
94	422	4023
95	425	4003
96	428	3987
97	430	3964
98	432	3935
99	434	3910
100	436	3881
101	438	3860
102	440	3836
103	443	3821
104	448	3820
105	450	3797
106	452	3775
107	454	3755
108	456	3727
109	459	3715
110	462	3703
111	465	3688
112	467	3671
113	470	3653
114	472	3637
115	477	3635
116	479	3617
117	481	3600
118	483	3582
119	486	3564
120	488	3548
121	492	3541
122	494	3524
123	496	3508
124	498	3491
125	501	3475
126	503	3459
127	506	3447
128	508	3436
129	511	3424
130	513	3409
131	516	3394
132	518	3381
133	521	3368
134	524	3361
135	527	3348
136	529	3334
137	531	3320
138	534	3308
139	536	3296
140	540	3292
141	542	3278
142	544	3265
143	547	3253
144	548	3236
145	551	3223
146	554	3218
147	557	3208
148	559	3195
149	561	3183
150	563	3171
151	566	3158
152	569	3151
153	572	3143
154	574	3132
155	577	3123
